"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"1983-01-02T14:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",NA,"bereinigt"
"1983-01-02T15:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",5.7,"bereinigt"
"1983-01-02T15:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",54.49,"bereinigt"
"1983-01-02T15:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",462.33,"bereinigt"
"1983-01-02T15:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",399.16,"bereinigt"
"1983-01-02T15:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",NA,"bereinigt"
"1983-01-02T16:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",5.68,"bereinigt"
"1983-01-02T16:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",55.52,"bereinigt"
"1983-01-02T16:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",421.6,"bereinigt"
"1983-01-02T16:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",367.05,"bereinigt"
"1983-01-02T16:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",76.07,"bereinigt"
"1983-01-02T17:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",5.64,"bereinigt"
"1983-01-02T17:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",52.44,"bereinigt"
"1983-01-02T17:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",433.98,"bereinigt"
"1983-01-02T17:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",375.36,"bereinigt"
"1983-01-02T17:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",69.9,"bereinigt"
"1983-01-02T18:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",6.2,"bereinigt"
"1983-01-02T18:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",57.05,"bereinigt"
"1983-01-02T18:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",468.5,"bereinigt"
"1983-01-02T18:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",405.45,"bereinigt"
"1983-01-02T18:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",86.86,"bereinigt"
"1983-01-02T19:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",5.08,"bereinigt"
"1983-01-02T19:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",54.49,"bereinigt"
"1983-01-02T19:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",463.87,"bereinigt"
"1983-01-02T19:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",400.39,"bereinigt"
"1983-01-02T19:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",99.19,"bereinigt"
"1983-01-02T20:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",6.04,"bereinigt"
"1983-01-02T20:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",52.44,"bereinigt"
"1983-01-02T20:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",476.75,"bereinigt"
"1983-01-02T20:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",409.65,"bereinigt"
"1983-01-02T20:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",125.92,"bereinigt"
"1983-01-02T21:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",4.22,"bereinigt"
"1983-01-02T21:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",53.47,"bereinigt"
"1983-01-02T21:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",295.33,"bereinigt"
"1983-01-02T21:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",264.74,"bereinigt"
"1983-01-02T21:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",77.11,"bereinigt"
"1983-01-02T22:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",3.99,"bereinigt"
"1983-01-02T22:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",56.03,"bereinigt"
"1983-01-02T22:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",257.7,"bereinigt"
"1983-01-02T22:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",235.91,"bereinigt"
"1983-01-02T22:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",74.02,"bereinigt"
"1983-01-02T23:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",3.61,"bereinigt"
"1983-01-02T23:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",53.46,"bereinigt"
"1983-01-02T23:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",237.6,"bereinigt"
"1983-01-02T23:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",218.45,"bereinigt"
"1983-01-02T23:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",70.93,"bereinigt"
"1983-01-03T00:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",3.49,"bereinigt"
"1983-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",57.58,"bereinigt"
"1983-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",181.42,"bereinigt"
"1983-01-03T00:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",175.57,"bereinigt"
"1983-01-03T00:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",85.32,"bereinigt"
"1983-01-03T01:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",3.53,"bereinigt"
"1983-01-03T01:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",58.6,"bereinigt"
"1983-01-03T01:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",209.77,"bereinigt"
"1983-01-03T01:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",198.82,"bereinigt"
"1983-01-03T01:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",135.69,"bereinigt"
